ODE,STANDARD,ODE,ODE,0,1,0.04,313419,0.0479541
ODE,QUICK,ODE,ODE,1,1,0.04,313419,0.0471129
ODE,QUICK,ODE,ODE,0,1,0.04,313419,0.0494759
DART,DANTZIG,BULLET,DART,0,1,0.04,1.19086e+08,0.085922
DART,PGS,BULLET,DART,0,1,0.04,1.19086e+08,0.087091
RAI,RAI,RAI,RAI,1,1,0.1,557224,0.00313807
RAI,RAI,RAI,RAI,0,1,0.1,1.83452e+06,0.00434709
BULLET,MULTIBODY,BULLET,BULLET,1,1,0.1,7.67704e+08,0.0153689
BULLET,MULTIBODY,BULLET,BULLET,0,1,0.1,7.67704e+08,0.0157201
ODE,STANDARD,ODE,ODE,1,1,0.1,2.03326e+06,0.018177
ODE,STANDARD,ODE,ODE,0,1,0.1,2.03326e+06,0.0205591
ODE,QUICK,ODE,ODE,1,1,0.1,2.03326e+06,0.02302
ODE,QUICK,ODE,ODE,0,1,0.1,2.03326e+06,0.0211151
DART,DANTZIG,BULLET,DART,0,1,0.1,7.67291e+08,0.0378909
DART,PGS,BULLET,DART,0,1,0.1,7.67291e+08,0.03774
