SIM,SOLVER,ERP,DIRECTION,TIMESTEP,BOXVELOCITY,BALLVELOCITY,BOXPOSITION,BALLPOSITION,BOXERROR,BALLERROR,TIME
"DART","PGS",0,0,0.0004,0,0,0,0,3.28431817660838e-07,0.440628419883433,7.2254
"DART","PGS",0,0,0.001,0,0,0,0,1.1845222368532e-06,0.440900017140878,2.89227
"DART","PGS",0,0,0.004,0,0,0,0,1.93708990000187e-05,0.442852976830886,0.72937
"DART","PGS",0,0,0.01,0,0,0,0,0.00012677625638702,0.446942529426814,0.72322
"DART","PGS",0,0,0.04,0,0,0,0,0.00246098298753041,0.471507172673212,0.390348
"DART","PGS",0,0,0.1,0,0,0,0,0.0384855787408427,0.617980673599908,0.0824259
"MUJOCO","CG",0,0,1e-05,0,0,0,0,0.00332503714839896,0.000723118775666877,38.3135
"MUJOCO","CG",0,0,4e-05,0,0,0,0,0.00307638284238036,0.000584358408271043,13.0162
"MUJOCO","CG",0,0,0.0001,0,0,0,0,0.00336667592901097,0.000751420124287588,6.52237
"MUJOCO","CG",0,0,0.0004,0,0,0,0,0.000698666169406181,0.0012753192520119,1.3416
"MUJOCO","CG",0,0,0.001,0,0,0,0,0.00227363198939027,0.00344166483978765,0.614371
"MUJOCO","CG",0,0,0.004,0,0,0,0,0.00930475783922357,0.012639015799426,0.173692
"MUJOCO","CG",0,0,0.01,0,0,0,0,0.0872131870688802,0.0752290656982883,0.0566894
"MUJOCO","CG",0,0,0.04,0,0,0,0,0.199065311368385,0.176942122482365,0.0191019
"MUJOCO","CG",0,0,0.1,0,0,0,0,0.85562591647776,0.842220509971764,0.00794566
"MUJOCO","NEWTON",0,0,1e-05,0,0,0,0,0.000440573162083744,0.000236644862533578,71.8312
"MUJOCO","NEWTON",0,0,4e-05,0,0,0,0,0.000436726366883531,0.000251339011733669,18.2112
"MUJOCO","NEWTON",0,0,0.0001,0,0,0,0,0.00048403817071076,0.000399985884246758,6.96862
"MUJOCO","NEWTON",0,0,0.0004,0,0,0,0,0.000885967769415339,0.00127857178926565,1.87328
"MUJOCO","NEWTON",0,0,0.001,0,0,0,0,0.00172835749603259,0.00290878939695982,0.806846
"MUJOCO","NEWTON",0,0,0.004,0,0,0,0,0.00930464799897378,0.0126390285990369,0.224907
"MUJOCO","NEWTON",0,0,0.01,0,0,0,0,0.0872122802362094,0.0752295628360573,0.069225
"MUJOCO","NEWTON",0,0,0.04,0,0,0,0,0.199081397713935,0.176956358654369,0.0242317
"MUJOCO","NEWTON",0,0,0.1,0,0,0,0,0.855717862412925,0.842091581864668,0.00994113
